epoch,train_loss,val_mae,val_mse,lr
1,0.052074,362.4803,636.6567,1e-06
2,0.057886,,,1e-06
3,0.042686,,,1e-06
4,0.041597,,,1e-06
5,0.036643,173.1017,246.302,1e-06
6,0.035308,,,1e-06
7,0.040745,,,1e-06
8,0.034547,,,1e-06
9,0.039413,,,1e-06
10,0.046709,146.9183,206.3242,1e-06
11,0.042594,,,1e-06
12,0.041837,,,1e-06
13,0.041642,,,1e-06
14,0.033344,,,1e-06
15,0.034222,137.1475,218.1283,1e-06
16,0.042447,,,1e-06
17,0.034363,,,1e-06
18,0.029588,,,1e-06
19,0.038869,,,1e-06
20,0.037996,107.563,150.4274,1e-06
21,0.037492,,,1e-06
22,0.034283,,,1e-06
23,0.035272,,,1e-06
24,0.040248,,,1e-06
25,0.037381,90.2651,134.3451,1e-06
26,0.028533,,,1e-06
27,0.038189,,,1e-06
28,0.03391,,,1e-06
29,0.031324,,,1e-06
30,0.033179,93.0952,162.9341,1e-06
31,0.032306,,,1e-06
32,0.031352,,,1e-06
33,0.033335,,,1e-06
34,0.03985,,,1e-06
35,0.031116,173.4562,210.183,1e-06
36,0.034112,,,1e-06
37,0.029443,,,1e-06
38,0.025982,,,1e-06
39,0.034488,,,1e-06
40,0.026186,81.5385,121.1517,1e-06
41,0.03183,,,1e-06
42,0.037072,,,1e-06
43,0.03345,,,1e-06
44,0.037644,,,1e-06
45,0.036405,98.1177,138.5538,1e-06
46,0.027223,,,1e-06
47,0.035594,,,1e-06
48,0.035125,,,1e-06
49,0.031582,,,1e-06
50,0.037318,79.5501,118.2744,5e-07
51,0.039366,,,5e-07
52,0.033438,,,5e-07
53,0.031601,,,5e-07
54,0.032173,,,5e-07
55,0.034077,107.5748,169.173,5e-07
56,0.025874,,,5e-07
57,0.026178,,,5e-07
58,0.030055,,,5e-07
59,0.030219,,,5e-07
60,0.027593,67.7403,116.6004,5e-07
61,0.030004,,,5e-07
62,0.038063,,,5e-07
63,0.034305,,,5e-07
64,0.033339,,,5e-07
65,0.031125,72.7775,115.1408,5e-07
66,0.030699,,,5e-07
67,0.02805,,,5e-07
68,0.035708,,,5e-07
69,0.037329,,,5e-07
70,0.031968,84.3868,126.6736,5e-07
71,0.034428,,,5e-07
72,0.026914,,,5e-07
73,0.033522,,,5e-07
74,0.025249,,,5e-07
75,0.031795,86.536,122.4779,5e-07
76,0.028782,,,5e-07
77,0.034918,,,5e-07
78,0.027093,,,5e-07
79,0.026424,,,5e-07
80,0.037921,70.6577,126.2542,5e-07
81,0.030043,,,5e-07
82,0.029032,,,5e-07
83,0.037581,,,5e-07
84,0.031778,,,5e-07
85,0.035617,92.9101,127.3616,5e-07
86,0.032734,,,5e-07
87,0.035176,,,5e-07
88,0.029027,,,5e-07
89,0.025661,,,5e-07
90,0.033796,104.055,136.377,5e-07
91,0.03713,,,5e-07
92,0.032037,,,5e-07
93,0.033242,,,5e-07
94,0.028199,,,5e-07
95,0.022358,66.814,132.9045,5e-07
96,0.029824,,,5e-07
97,0.035184,,,5e-07
98,0.035846,,,5e-07
99,0.040407,,,5e-07
100,0.030234,68.218,110.3691,2.5e-07
101,0.027811,,,2.5e-07
102,0.029052,,,2.5e-07
103,0.028451,,,2.5e-07
104,0.028922,,,2.5e-07
105,0.039839,67.6148,112.8124,2.5e-07
106,0.030275,,,2.5e-07
107,0.031302,,,2.5e-07
108,0.033444,,,2.5e-07
109,0.030459,,,2.5e-07
110,0.031342,66.7055,113.1075,2.5e-07
111,0.036329,,,2.5e-07
112,0.028191,,,2.5e-07
113,0.03199,,,2.5e-07
114,0.029268,,,2.5e-07
115,0.027811,107.3529,150.2823,2.5e-07
116,0.030688,,,2.5e-07
117,0.026881,,,2.5e-07
118,0.03473,,,2.5e-07
119,0.030088,,,2.5e-07
120,0.030311,93.386,130.4456,2.5e-07
121,0.03076,,,2.5e-07
122,0.027655,,,2.5e-07
123,0.039009,,,2.5e-07
124,0.034609,,,2.5e-07
125,0.034281,133.5514,168.8355,2.5e-07
126,0.02586,,,2.5e-07
127,0.02849,,,2.5e-07
128,0.028872,,,2.5e-07
129,0.038532,,,2.5e-07
130,0.022672,97.407,131.6205,2.5e-07
131,0.027108,,,2.5e-07
132,0.032787,,,2.5e-07
133,0.030107,,,2.5e-07
134,0.024073,,,2.5e-07
135,0.032314,83.382,126.1838,2.5e-07
136,0.034363,,,2.5e-07
137,0.030522,,,2.5e-07
138,0.026872,,,2.5e-07
139,0.029756,,,2.5e-07
140,0.032287,145.3265,206.2871,2.5e-07
141,0.036965,,,2.5e-07
142,0.026903,,,2.5e-07
143,0.031154,,,2.5e-07
144,0.025081,,,2.5e-07
145,0.036484,89.3018,128.5379,2.5e-07
146,0.026265,,,2.5e-07
147,0.028751,,,2.5e-07
148,0.032345,,,2.5e-07
149,0.03507,,,2.5e-07
150,0.03054,120.3624,182.9473,1.25e-07
151,0.040297,,,1.25e-07
152,0.031664,,,1.25e-07
153,0.02908,,,1.25e-07
154,0.032629,,,1.25e-07
155,0.032722,72.653,117.1398,1.25e-07
156,0.023599,,,1.25e-07
157,0.026433,,,1.25e-07
158,0.027483,,,1.25e-07
159,0.028611,,,1.25e-07
160,0.031016,91.3648,133.9497,1.25e-07
161,0.035897,,,1.25e-07
162,0.027037,,,1.25e-07
163,0.030388,,,1.25e-07
164,0.030345,,,1.25e-07
165,0.03852,81.6346,126.7405,1.25e-07
166,0.032376,,,1.25e-07
167,0.031206,,,1.25e-07
168,0.032478,,,1.25e-07
169,0.034242,,,1.25e-07
170,0.028725,88.9297,131.6322,1.25e-07
171,0.028001,,,1.25e-07
172,0.03035,,,1.25e-07
173,0.030792,,,1.25e-07
174,0.032208,,,1.25e-07
175,0.034896,72.056,116.8732,1.25e-07
176,0.033659,,,1.25e-07
177,0.024601,,,1.25e-07
178,0.035264,,,1.25e-07
179,0.034651,,,1.25e-07
180,0.035028,65.4114,113.5674,1.25e-07
181,0.040573,,,1.25e-07
182,0.03099,,,1.25e-07
183,0.026464,,,1.25e-07
184,0.03327,,,1.25e-07
185,0.028415,92.5448,137.9598,1.25e-07
186,0.033505,,,1.25e-07
187,0.028046,,,1.25e-07
188,0.027978,,,1.25e-07
189,0.029423,,,1.25e-07
190,0.030259,75.0434,120.4627,1.25e-07
191,0.032215,,,1.25e-07
192,0.030522,,,1.25e-07
193,0.028832,,,1.25e-07
194,0.036638,,,1.25e-07
195,0.024179,79.7862,123.8849,1.25e-07
196,0.030398,,,1.25e-07
197,0.0283,,,1.25e-07
198,0.028241,,,1.25e-07
199,0.032121,,,1.25e-07
200,0.036412,72.1804,116.4024,6.25e-08
