epoch,train_loss,val_mae,val_mse,lr
1,0.000555,117.599,144.2413,1e-06
2,0.000474,,,1e-06
3,0.000668,,,1e-06
4,0.000381,,,1e-06
5,0.000537,58.3543,78.206,1e-06
6,0.000471,,,1e-06
7,0.000573,,,1e-06
8,0.000421,,,1e-06
9,0.000246,,,1e-06
10,0.000203,33.814,45.8415,1e-06
11,0.000398,,,1e-06
12,0.000332,,,1e-06
13,0.000471,,,1e-06
14,0.000321,,,1e-06
15,0.000327,19.9468,33.447,1e-06
16,0.000365,,,1e-06
17,0.000191,,,1e-06
18,0.000467,,,1e-06
19,0.000267,,,1e-06
20,0.000216,19.4064,31.1454,1e-06
21,0.000191,,,1e-06
22,0.000217,,,1e-06
23,0.00025,,,1e-06
24,0.000202,,,1e-06
25,0.000327,28.9271,35.1636,1e-06
26,0.000275,,,1e-06
27,0.000324,,,1e-06
28,0.000272,,,1e-06
29,0.000418,,,1e-06
30,0.000192,19.7111,28.9701,1e-06
31,0.000255,,,1e-06
32,0.00019,,,1e-06
33,0.000305,,,1e-06
34,0.00057,,,1e-06
35,0.000175,21.0011,35.7085,1e-06
36,0.000322,,,1e-06
37,0.000184,,,1e-06
38,0.00019,,,1e-06
39,0.000287,,,1e-06
40,0.000316,17.823,29.6979,1e-06
41,0.00037,,,1e-06
42,0.000285,,,1e-06
43,0.000316,,,1e-06
44,0.000282,,,1e-06
45,0.000282,19.8182,33.941,1e-06
46,0.000321,,,1e-06
47,0.000259,,,1e-06
48,0.000349,,,1e-06
49,0.0004,,,1e-06
50,0.000231,19.3445,29.0003,5e-07
51,0.00018,,,5e-07
52,0.000181,,,5e-07
53,0.000199,,,5e-07
54,0.000199,,,5e-07
55,0.000376,18.157,30.1462,5e-07
56,0.000165,,,5e-07
57,0.000142,,,5e-07
58,0.000169,,,5e-07
59,0.000255,,,5e-07
60,0.00032,18.437,31.275,5e-07
61,0.000403,,,5e-07
62,0.000274,,,5e-07
63,0.000263,,,5e-07
64,0.000182,,,5e-07
65,0.000223,27.9872,34.5627,5e-07
66,0.000362,,,5e-07
67,0.000208,,,5e-07
68,0.000192,,,5e-07
69,0.000249,,,5e-07
70,0.000301,19.0806,32.7657,5e-07
71,0.00032,,,5e-07
72,0.000234,,,5e-07
73,0.000332,,,5e-07
74,0.000468,,,5e-07
75,0.000205,20.7071,34.3833,5e-07
76,0.000271,,,5e-07
77,0.000209,,,5e-07
78,0.000238,,,5e-07
79,0.000183,,,5e-07
80,0.000191,24.9522,32.2245,5e-07
81,0.000434,,,5e-07
82,0.000335,,,5e-07
83,0.000344,,,5e-07
84,0.0002,,,5e-07
85,0.000258,18.4059,31.1929,5e-07
86,0.000317,,,5e-07
87,0.000223,,,5e-07
88,0.000276,,,5e-07
89,0.000338,,,5e-07
90,0.000317,113.7082,123.6844,5e-07
91,0.000331,,,5e-07
92,0.000208,,,5e-07
93,0.00032,,,5e-07
94,0.000286,,,5e-07
95,0.000202,25.7382,33.1046,5e-07
96,0.000209,,,5e-07
97,0.00031,,,5e-07
98,0.000299,,,5e-07
99,0.00026,,,5e-07
100,0.000157,19.374,31.1813,2.5e-07
101,0.000213,,,2.5e-07
102,0.000185,,,2.5e-07
103,0.000296,,,2.5e-07
104,0.000164,,,2.5e-07
105,0.000385,42.2262,47.3667,2.5e-07
106,0.000308,,,2.5e-07
107,0.000266,,,2.5e-07
108,0.000215,,,2.5e-07
109,0.000273,,,2.5e-07
110,0.000258,33.2683,38.909,2.5e-07
111,0.000277,,,2.5e-07
112,0.000578,,,2.5e-07
113,0.000186,,,2.5e-07
114,0.00032,,,2.5e-07
115,0.000353,42.7044,48.7124,2.5e-07
116,0.000315,,,2.5e-07
117,0.00017,,,2.5e-07
118,0.000241,,,2.5e-07
119,0.000245,,,2.5e-07
120,0.000198,19.1172,32.0846,2.5e-07
121,0.000222,,,2.5e-07
122,0.00026,,,2.5e-07
123,0.000167,,,2.5e-07
124,0.000345,,,2.5e-07
125,0.000247,21.1724,36.2133,2.5e-07
126,0.000177,,,2.5e-07
127,0.000229,,,2.5e-07
128,0.000225,,,2.5e-07
129,0.000214,,,2.5e-07
130,0.000209,21.5341,30.6584,2.5e-07
131,0.000307,,,2.5e-07
132,0.000261,,,2.5e-07
133,0.000229,,,2.5e-07
134,0.000262,,,2.5e-07
135,0.000275,24.1182,40.1135,2.5e-07
136,0.000259,,,2.5e-07
137,0.000607,,,2.5e-07
138,0.000147,,,2.5e-07
139,0.000234,,,2.5e-07
140,0.000344,23.0053,31.4917,2.5e-07
141,0.000295,,,2.5e-07
142,0.000414,,,2.5e-07
143,0.000209,,,2.5e-07
144,0.000316,,,2.5e-07
145,0.000335,19.3916,30.9248,2.5e-07
146,0.000204,,,2.5e-07
147,0.000286,,,2.5e-07
148,0.000328,,,2.5e-07
149,0.000384,,,2.5e-07
150,0.000347,29.1617,36.5633,1.25e-07
151,0.000424,,,1.25e-07
152,0.000161,,,1.25e-07
153,0.000374,,,1.25e-07
154,0.000262,,,1.25e-07
155,0.000327,20.9861,30.6467,1.25e-07
156,0.000235,,,1.25e-07
157,0.000291,,,1.25e-07
158,0.00032,,,1.25e-07
159,0.000208,,,1.25e-07
160,0.000316,19.4055,31.4166,1.25e-07
161,0.000187,,,1.25e-07
162,0.000331,,,1.25e-07
163,0.000323,,,1.25e-07
164,0.000196,,,1.25e-07
165,0.00029,41.0959,46.9823,1.25e-07
166,0.000201,,,1.25e-07
167,0.000327,,,1.25e-07
168,0.000235,,,1.25e-07
169,0.000358,,,1.25e-07
170,0.000185,19.8001,30.9702,1.25e-07
171,0.000304,,,1.25e-07
172,0.00027,,,1.25e-07
173,0.00033,,,1.25e-07
174,0.000214,,,1.25e-07
175,0.000215,21.8092,31.0184,1.25e-07
176,0.000335,,,1.25e-07
177,0.00035,,,1.25e-07
178,0.000226,,,1.25e-07
179,0.000231,,,1.25e-07
180,0.000195,20.0915,31.5338,1.25e-07
181,0.000242,,,1.25e-07
182,0.000252,,,1.25e-07
183,0.00025,,,1.25e-07
184,0.000373,,,1.25e-07
185,0.000383,26.7648,34.6261,1.25e-07
186,0.000212,,,1.25e-07
187,0.000196,,,1.25e-07
188,0.000291,,,1.25e-07
189,0.000193,,,1.25e-07
190,0.000204,22.2603,31.2186,1.25e-07
191,0.000302,,,1.25e-07
192,0.000294,,,1.25e-07
193,0.000191,,,1.25e-07
194,0.000313,,,1.25e-07
195,0.000416,23.9218,32.1392,1.25e-07
196,0.000281,,,1.25e-07
197,0.000152,,,1.25e-07
198,0.000291,,,1.25e-07
199,0.000302,,,1.25e-07
200,0.000314,25.4056,33.1821,6.25e-08
